Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.4472177600634517; Solution So Far: Solution: [0.5566965146243682, 0.08462134963395518, -0.13989374848797476, -0.7284696324055945, 0.016880631017157977, -0.5896747414113862, -0.008168209299098339, 0.5718459609370395];
Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.29089519144033565; Solution So Far: Solution: [-0.2906701899416037, 0.2573497527909818, 0.08304438828337485, 0.394703365913081, -0.04085494694433439, -0.6514324327339243, 0.14034533202591692, -0.14789377749777005];

Generation: 2; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.29089519144033565; Solution So Far: Solution: [-0.2906701899416037, 0.2573497527909818, 0.08304438828337485, 0.394703365913081, -0.04085494694433439, -0.6514324327339243, 0.14034533202591692, -0.14789377749777005];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.43336900609581697; Solution So Far: Solution: [-0.24868846122922295, 0.5552346377240313, 0.44011159804407707, 0.5188775102604393, -0.515199534482456, -0.474162288004151, -0.4846547395096463, -0.2009246305116889];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.11283061220683673; Solution So Far: Solution: [-0.22576732946157274, -0.6996990644755341, -0.4917596383881294, 0.1502894277390418, -0.32601453403862896, -0.1788641935550832, 0.27231499752969435, -0.5025145111991498];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.6056245912060108; Solution So Far: Solution: [-0.7830103843189891, 0.19459523889468547, -0.77541814620261, -0.31375011650884144, 0.6306247030681692, -0.030771387352848956, 0.05431611869659553, 0.4216773919844664];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.10775494729031221; Solution So Far: Solution: [-0.7016479282156596, 0.15353043603350502, 0.28960572593887124, 0.5138862130245805, 0.30286217467432913, 0.36103227189730625, 0.6668232712867129, -0.5208422290028549];

Generation: 3; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.6056245912060108; Solution So Far: Solution: [-0.7830103843189891, 0.19459523889468547, -0.77541814620261, -0.31375011650884144, 0.6306247030681692, -0.030771387352848956, 0.05431611869659553, 0.4216773919844664];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.0767292432270516; Solution So Far: Solution: [-0.1437956100438274, 0.4654371258288509, -0.02198904988220962, 0.2528874955616688, 0.5614826751537976, -0.5830435924594115, -0.5221713360344434, 0.5480656937960614];

Generation: 4; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.0767292432270516; Solution So Far: Solution: [-0.1437956100438274, 0.4654371258288509, -0.02198904988220962, 0.2528874955616688, 0.5614826751537976, -0.5830435924594115, -0.5221713360344434, 0.5480656937960614];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.32491552461216944; Solution So Far: Solution: [-0.6233774933471375, 0.534398412469796, -0.05857569474199636, -0.4137989759811566, 0.5249797678040563, -0.5037553507396796, -0.20151135576900436, 0.1601839764512325];

Generation: 5; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.32491552461216944; Solution So Far: Solution: [-0.6233774933471375, 0.534398412469796, -0.05857569474199636, -0.4137989759811566, 0.5249797678040563, -0.5037553507396796, -0.20151135576900436, 0.1601839764512325];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.8358320116260284; Solution So Far: Solution: [-0.5748639897207637, -0.4551850823679694, 0.4852377223023343, -0.5327702957179206, -0.7676855371728509, -0.16076976670015497, -0.18354878433153377, -0.13200593074293365];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.15274521157837; Solution So Far: Solution: [-0.5312857493260874, 0.07970696915221542, -0.5329581217129624, 0.18847817427484137, 0.7687094954596635, -0.009700524644400521, -0.7804175948130673, -0.28916302369331864];

Generation: 6; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.15274521157837; Solution So Far: Solution: [-0.5312857493260874, 0.07970696915221542, -0.5329581217129624, 0.18847817427484137, 0.7687094954596635, -0.009700524644400521, -0.7804175948130673, -0.28916302369331864];

Generation: 7; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.19278378677716615; Solution So Far: Solution: [-0.7765140447127936, 0.7849629368934615, -0.7848997824874507, -0.06489933049947683, 0.6795299953464778, 0.13620156869705596, -0.4541417351038948, -0.39749093856278517];

Generation: 8; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.23558014964797255; Solution So Far: Solution: [-0.5206573410977414, 0.5415403508229132, 0.12002172681150702, 0.3713343567547761, 0.15253740008920288, 0.5664488728689977, -0.3807050654460376, -0.04962476997412432];

Generation: 9; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.2201180736545018; Solution So Far: Solution: [-0.6243638774066615, -0.012616350047525149, -0.31145868789565967, 0.765138347187486, 0.5003331658077396, 0.7432149460461319, -0.7223381146063872, -0.08903970063595895];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.5807350692430642; Solution So Far: Solution: [-0.5205939200261973, -0.053475030247113864, -0.024610786864491974, 0.45214242301441276, 0.5193120925393878, 0.38007734448660735, -0.283516812693009, -0.008115898742905914];

Generation: 10; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.5807350692430642; Solution So Far: Solution: [-0.5205939200261973, -0.053475030247113864, -0.024610786864491974, 0.45214242301441276, 0.5193120925393878, 0.38007734448660735, -0.283516812693009, -0.008115898742905914];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.6897873352164794; Solution So Far: Solution: [-0.6835929695876426, -0.5868632259397031, 0.7462612542048273, 0.38840101777089153, 0.44863247222374814, 0.09337439247752766, -0.12466320240480444, -0.0154114931347442];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.716980964405479; Solution So Far: Solution: [-0.7767347544674554, -0.39843434821923385, -0.6294501889824899, 0.7593920257069973, 0.07654032916009856, 0.2820782356213479, 0.08470648447386808, -0.2318337002359565];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.3455880600431904; Solution So Far: Solution: [-0.6242103909278636, 0.34677009375341283, -0.7730148755937533, 0.3126242905078125, 0.6798792486083892, 0.6186703766375526, -0.3598281616470196, 0.42790867769163077];

Generation: 11; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.716980964405479; Solution So Far: Solution: [-0.7767347544674554, -0.39843434821923385, -0.6294501889824899, 0.7593920257069973, 0.07654032916009856, 0.2820782356213479, 0.08470648447386808, -0.2318337002359565];

Generation: 12; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.7639136926473213; Solution So Far: Solution: [-0.6635996859283269, 0.7103648816395133, -0.753046265614581, 0.7036948359825433, 0.4819826999125541, 0.32250108783370257, -0.5680927535234606, -0.7459376199458955];

Generation: 13; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.29373477330021364; Solution So Far: Solution: [-0.3396030550362576, -0.013988446916137987, 0.12328218991038709, 0.4283144888507281, 0.6524034166673649, 0.37358177448350244, -0.5601762545923643, -0.5335186801602869];

Generation: 14; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.2390737336097743; Solution So Far: Solution: [-0.13802224536678498, 0.6688639622506501, -0.1883266171486696, 0.7255249702360872, 0.7416711225305893, -0.2568870220679957, -0.4229692541010377, -0.6964327832579872];

Generation: 15; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.2587610466526945; Solution So Far: Solution: [0.4764427993318464, 0.673466904362607, -0.5999867530048468, 0.5674667049220542, 0.3738801853422761, 0.0024197020883210407, -0.5559451367392649, -0.7386506320113216];

Generation: 16; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.9931755020251726; Solution So Far: Solution: [0.06508051289480188, 0.5741149892226135, 0.6728731573205137, 0.3606402273239877, -0.5843910519550565, 0.06864859391958192, 0.7853815519541388, -0.5913027342457144];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -2.3683731951492524; Solution So Far: Solution: [0.7853911018208336, 0.03240851743758366, 0.6391135553428045, -0.3347203524252298, 0.025490467058892213, 0.6866171932505847, 0.08686840064880566, -0.7657729485384086];

Generation: 17; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -2.3683731951492524; Solution So Far: Solution: [0.7853911018208336, 0.03240851743758366, 0.6391135553428045, -0.3347203524252298, 0.025490467058892213, 0.6866171932505847, 0.08686840064880566, -0.7657729485384086];

Generation: 18; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.05383558562292452; Solution So Far: Solution: [-0.14479450777560232, -0.14657480090843134, 0.07616824057111105, -0.5708212870783305, 0.2922353569143671, 0.7800154164962523, -0.37896235023303126, -0.694321171725645];

Generation: 19; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.10713521382495086; Solution So Far: Solution: [0.5384125650905695, -0.2107074695915394, 0.1130199405849518, -0.6437986205183952, -0.08756218110565259, 0.7794317582675825, -0.22603992984642068, -0.6634465106893112];

